,Peaks,q1,,,,,,,
5-year,180.31,,,,,,,,
10-year,211.75,,,,,,,,
20-year,241.91,,,,,,,,
50-year,280.95,,,,,,,,
Jan-05,,4.687,,,,,,,
1000-year,406.88,,,,,,,,
,,,,,,,,,
,,,,Jan-05,5-year,10-year,20-year,50-year,1000-year
,,,max check,381.167,180.31,211.75,241.91,280.95,406.88
,,,max,381.167,180.31,211.75,241.91,280.95,406.88
,,,q1,4.687,,,,,
,,DateTime,,,,,,,
,,1/05/2005 15:55,,36.515,19.53434606,22.19231546,24.74207237,28.04255345,38.68880303
,,1/05/2005 16:00,,36.286,19.42752055,22.06636607,24.59777767,27.87451205,38.44416268
,,1/05/2005 16:05,,37.207,19.85715501,22.57291362,25.17810699,28.55034669,39.42806555
,,1/05/2005 16:10,,38.494,20.4575237,23.2807602,25.98905578,29.49475404,40.80296566
,,1/05/2005 16:15,,40.164,21.23655687,24.19925577,27.04133588,30.72020881,42.58702407
,,1/05/2005 16:20,,41.135,21.68951568,24.73330319,27.65317059,31.4327337,43.62434186
,,1/05/2005 16:25,,41.013,21.63260428,24.66620351,27.57629743,31.34320946,43.49400945
,,1/05/2005 16:30,,42.986,22.55298299,25.75134827,28.8195002,32.79100722,45.60176229
,,1/05/2005 16:35,,43.739,22.90424765,26.16549627,29.29397141,33.34356257,46.40619102
,,1/05/2005 16:40,,43.487,22.78669295,26.02689694,29.13518423,33.15864365,46.13697981
,,1/05/2005 16:45,,44.737,23.36980161,26.71439362,29.92281903,34.07590021,47.47235287
,,1/05/2005 16:50,,45.817,23.8736075,27.30839075,30.6033355,34.86840988,48.6261152
,,1/05/2005 16:55,,45.336,23.64922728,27.04384203,30.30025363,34.51544955,48.11226364
,,1/05/2005 17:00,,46.42,24.15489912,27.64003915,30.98329053,35.31089444,49.27029916
,,1/05/2005 17:05,,47.266,24.54954706,28.1053369,31.51636176,35.93169368,50.17407965
,,1/05/2005 17:10,,48.36,25.05988376,28.707034,32.20569974,36.73447662,51.34279815
,,1/05/2005 17:15,,49.092,25.4013522,29.10963205,32.66693868,37.27162206,52.12479262
,,1/05/2005 17:20,,50.934,26.26062112,30.12272716,33.82759733,38.62329133,54.09259836
